"Sample","SQ.Mean_SCNAG","SQ.Mean_mtDNA","mtDNA.Mean","Cq.Mean_SCNAG","SQ.Mean_Telomeres","Cq.Mean_Telomeres","Telomeres.per.cell","Plate_ID","Treatment","Time_Point"
"5.3_B",21610.26376,606569.3574,28.0685772342466,28.73218068,2.13e+11,18.08227107,9856427.59225628,"Plate1","Constant-Warmth","B"
"5.3_C",25276.652746461,299036.558931472,11.8305442548496,28.1548090785508,153838119672.155,18.253522117395,6086174.51112842,"Plate3","Constant-Warmth","C"
"5.3_D",22038.20571874,388639.189565358,17.6347927106825,29.5400519691243,1.88e+11,18.19409595,8530640.03482533,"Plate2","Constant-Warmth","D"
"5.4_B",64928.1290697939,764912.750080353,11.780914698129,27.9744621050231,1.71e+11,18.33763556,2633681.30962445,"Plate2","Cold-Dormancy","B"
"5.4_C",22440.8389321972,418958.651537014,18.6694736682018,28.3273311467314,189943901000.852,17.9632778496886,8464206.77830935,"Plate3","Cold-Dormancy","C"
"5.4_D",17733.59411,336929.9896,18.9995320469191,29.01685241,1.83e+11,18.32729651,10319397.1207904,"Plate1","Cold-Dormancy","D"
"5.5_A",35621.2415156184,481842.286329758,13.5268246088079,28.8438392022093,1.67e+11,18.36906495,4688213.91098279,"Plate2","Constant-Warmth","A"
"5.5_B",18337.738511769,434710.395442371,23.7057800318931,29.8057819458039,1.55e+11,18.48789798,8452514.46357588,"Plate2","Constant-Warmth","B"
"5.5_C",43585.4477559712,608392.633524128,13.9586184115954,27.7660106295864,135293452097.003,19.1200228271298,3104096.87321539,"Plate5","Constant-Warmth","C"
"5.5_D",52378.4771519817,1138436.54718257,21.7348156930809,27.0995484322493,296547754590.669,17.3148453385752,5661633.76094735,"Plate3","Constant-Warmth","D"
"5.6_B",74862.4720326821,1192430.68444181,15.9282835854157,27.0492771043589,2.94176e+11,17.60148425,3929552.31122443,"Plate6","Cold-Dormancy","B"
"6.2_A",55280.3434244833,673199.279786494,12.1779142111541,27.0210600903435,219114214329.49,17.7518905089174,3963691.26448744,"Plate3","Constant-Warmth","A"
"6.2_B",43800.3546198485,1203280.74423309,27.4719406880741,27.7680966460143,248746602016.346,17.973366767413,5679100.18481048,"Plate4","Constant-Warmth","B"
"6.2_C",30958.0130905732,506531.420305011,16.3618840402665,27.8610423282319,146853327063.411,18.324418955658,4743628.94781927,"Plate3","Constant-Warmth","C"
"6.2_D",116294.279414077,1549581.78492973,13.3246604453543,26.4023128124591,4.75478e+11,16.84987463,4088576.00215239,"Plate6","Constant-Warmth","D"
"6.3_B",54133.0217827368,959123.826674347,17.7179066508387,27.4497551896993,216902634225.026,18.3778721526807,4006845.12118252,"Plate5","Cold-Dormancy","B"
"6.3_C",56992.0696730482,941919.038082078,16.5271948094827,27.4498692076758,2.34287e+11,17.95544876,4110870.18499339,"Plate6","Cold-Dormancy","C"
"6.3_D",18114.7093741082,348898.567099471,19.2605114381885,29.8269892090132,1.26e+11,18.80578442,6955673.28174168,"Plate2","Cold-Dormancy","D"
"6.4_A",25342.2172854293,290762.303458992,11.47343581598,29.3385407847177,1.35e+11,18.69485181,5327079.25591102,"Plate2","Cold-Dormancy","A"
"6.4_B",54753.6776439746,954139.016937371,17.4260261226922,27.4323937220691,246565743786.369,17.9866738631061,4503181.41896542,"Plate4","Cold-Dormancy","B"
"6.4_C",27804.8568458551,518079.285481136,18.6326902653472,29.2026982606303,1.94e+11,18.13937892,6977198.30299791,"Plate2","Cold-Dormancy","C"
"6.4_D",19205.2022377883,552679.003671855,28.7775674959777,28.9813468867767,192659972404.645,18.3591777652415,10031655.4868433,"Plate4","Cold-Dormancy","D"
"6.5_A",55719.0903614318,923154.178558101,16.5680051948066,27.4076463414505,198597080906.557,18.5163610467318,3564255.61900458,"Plate5","Constant-Warmth","A"
"6.5_B",77406.7328797158,1273803.06479832,16.4559724640195,27.0002357656937,3.1184e+11,17.50803425,4028590.12903407,"Plate6","Constant-Warmth","B"
"6.5_C",57671.6225471688,782058.753933476,13.5605471008526,27.4324294450164,2.46162e+11,17.87952338,4268338.38078108,"Plate6","Constant-Warmth","C"
"6.5_D",58422.0458390014,697019.77324348,11.9307662584141,27.3339529457002,226887618148.244,18.1126419804247,3883595.9078444,"Plate4","Constant-Warmth","D"
"7.1_A",32906.997932431,807928.5456766,24.5518763922357,28.9598003704673,1.95e+11,18.13732643,5925791.23748693,"Plate2","Cold-Dormancy","A"
"7.1_B",54118.6619563999,1204828.12010938,22.2627108016831,27.4477635645505,207295380269.245,18.2486301345245,3830386.28036019,"Plate4","Cold-Dormancy","B"
"7.1_C",83761.6908663977,1714299.21717537,20.4663874313345,26.8034749780863,209400654531.613,18.2335174009875,2499957.34763298,"Plate4","Cold-Dormancy","C"
"7.1_D",27271.26045,676938.0712,24.8223976460905,28.39206412,1.68e+11,18.45955108,6160331.32417977,"Plate1","Cold-Dormancy","D"
"7.2_A",60460.1369964253,1424097.37548941,23.5543193620883,27.3691784221007,4.43411e+11,16.95877239,7333939.71677928,"Plate6","Constant-Warmth","A"
"7.2_B",48293.6181116816,910235.224654491,18.8479401677779,27.216829958351,272248478925.99,17.4307092667844,5637359.33589404,"Plate3","Constant-Warmth","B"
"7.2_C",51350.3508378054,1217254.68704649,23.7048952380344,27.5316938064771,176444447771.382,18.4932494768372,3436090.40430312,"Plate4","Constant-Warmth","C"
"7.2_D",48314.229136549,963776.412752755,19.9480863086703,27.2166174902009,196458793074.917,17.9005507531383,4066271.91587124,"Plate3","Constant-Warmth","D"
"7.3_B",42486.365856433,711855.130206667,16.7549075063779,27.4066755920444,187661505358.071,17.966295007686,4416981.81464152,"Plate3","Cold-Dormancy","B"
"7.3_C",73266.1580969097,1420834.2841246,19.3927772525653,27.0070871036913,181604842426.038,18.6570000922101,2478700.22317572,"Plate5","Cold-Dormancy","C"
"7.3_D",69891.9448630778,1156843.41893471,16.5518847873103,27.0759644605076,189910061322.801,18.5866008061487,2717195.26041013,"Plate5","Cold-Dormancy","D"
