Tortoise_ID,Treatment,Nest_ID,Tank,Growth_rate_During,Growth_rate_3_Weeks_Post,Growth_rate_3_Months_Post,Time_Interval,Telomere_Change,Growth_Rate,z_telo,z_growth,outlier
GT2023_N12.04,Cold-Dormancy,GT2023_N12,6,0.102105263,0.731578947,0.958241758,Winter_2023,-4277978.904,0.102105263,1.4782969080650628,0.7547369297240097,FALSE
GT2023_N12.04,Cold-Dormancy,GT2023_N12,6,0.102105263,0.731578947,0.958241758,Early_Spring_2024,1223738.44,0.731578947,0.36955141531733826,0.42972534449620586,FALSE
GT2023_N12.04,Cold-Dormancy,GT2023_N12,6,0.102105263,0.731578947,0.958241758,Late_Spring_2024,-1076513.851,0.958241758,0.3871191425844831,0.3431109007248845,FALSE
GT2023_N12.05,Cold-Dormancy,GT2023_N12,11,0.054526316,0.684210526,0.656043956,Winter_2023,2067095.7,0.054526316,0.16762614467337658,0.8848320322629717,FALSE
GT2023_N12.05,Cold-Dormancy,GT2023_N12,11,0.054526316,0.684210526,0.656043956,Early_Spring_2024,-991193.8559,0.684210526,0.16395443260828596,0.5164916581259423,FALSE
GT2023_N12.05,Cold-Dormancy,GT2023_N12,11,0.054526316,0.684210526,0.656043956,Late_Spring_2024,-755736.3016,0.656043956,0.2929916599893747,0.44566534305782424,FALSE
GT2023_N12.06,Constant-Warmth,GT2023_N12,10,0.607263158,0.810526316,0.748351648,Winter_2023,1506667.242,0.607263158,0.022250057550405385,0.626516172585952,FALSE
GT2023_N12.06,Constant-Warmth,GT2023_N12,10,0.607263158,0.810526316,0.748351648,Early_Spring_2024,-887867.3067,0.810526316,0.13906639501624954,0.28511482055882303,FALSE
GT2023_N12.06,Constant-Warmth,GT2023_N12,10,0.607263158,0.810526316,0.748351648,Late_Spring_2024,1922586.831,0.748351648,0.49292311029124986,0.20473005469324776,FALSE
GT2023_N13.01,Cold-Dormancy,GT2023_N13,1,0.144421053,0.642105263,1.184615385,Winter_2023,268252.3977,0.144421053,0.29899684154860084,0.6390328760158184,FALSE
GT2023_N13.01,Cold-Dormancy,GT2023_N13,1,0.144421053,0.642105263,1.184615385,Early_Spring_2024,1009383.036,0.642105263,0.31792010280266314,0.5936172700377376,FALSE
GT2023_N13.01,Cold-Dormancy,GT2023_N13,1,0.144421053,0.642105263,1.184615385,Late_Spring_2024,-1780388.359,1.184615385,0.5936608273901545,0.9339760162710525,FALSE
GT2023_N13.02,Constant-Warmth,GT2023_N13,2,0.608105263,1.184210526,1.168131868,Early_Spring_2024,-3684613.699,1.184210526,0.8127125187460318,0.39937498676112704,FALSE
GT2023_N13.02,Constant-Warmth,GT2023_N13,2,0.608105263,1.184210526,1.168131868,Late_Spring_2024,-3480384.874,1.168131868,1.0924999533723527,0.8909518561430164,FALSE
GT2023_N13.03,Cold-Dormancy,GT2023_N13,3,0.055894737,0.6,0.826373626,Winter_2023,6094453.898,0.055894737,1.2123296530520686,0.8810903590747974,FALSE
GT2023_N13.03,Cold-Dormancy,GT2023_N13,3,0.055894737,0.6,0.826373626,Early_Spring_2024,-5545387.962,0.6,1.2609131038463601,0.670742881949533,FALSE
GT2023_N13.03,Cold-Dormancy,GT2023_N13,3,0.055894737,0.6,0.826373626,Late_Spring_2024,1689176.865,0.826373626,0.4244323678646546,0.001082369858871871,FALSE
GT2023_N13.04,Constant-Warmth,GT2023_N13,5,0.629263158,0.915789474,0.901098901,Winter_2023,-1136932.853,0.629263158,0.663504265312719,0.6866707669248551,FALSE
GT2023_N13.04,Constant-Warmth,GT2023_N13,5,0.629263158,0.915789474,0.901098901,Early_Spring_2024,2003361.525,0.915789474,0.5573375051202812,0.09230078986346811,FALSE
GT2023_N13.04,Constant-Warmth,GT2023_N13,5,0.629263158,0.915789474,0.901098901,Late_Spring_2024,7792662.646,0.901098901,2.215411046687896,0.1939604839939499,FALSE
GT2023_N14.05,Cold-Dormancy,GT2023_N14,11,0.045894737,0.857894737,1.031868132,Winter_2023,223068.3925,0.045894737,0.3107176486966918,0.9084333565015714,FALSE
GT2023_N14.05,Cold-Dormancy,GT2023_N14,11,0.045894737,0.857894737,1.031868132,Early_Spring_2024,1148500.768,0.857894737,0.35142908351035185,0.19834850692908673,FALSE
GT2023_N14.05,Cold-Dormancy,GT2023_N14,11,0.045894737,0.857894737,1.031868132,Late_Spring_2024,2791370.905,1.031868132,0.7478550965144177,0.5352854775838549,FALSE
GT2023_N15.01,Constant-Warmth,GT2023_N15,12,0.494526316,1.505263158,1.089010989,Early_Spring_2024,-107832.7198,1.505263158,0.048818812340078156,0.987457780565133,FALSE
GT2023_N15.01,Constant-Warmth,GT2023_N15,12,0.494526316,1.505263158,1.089010989,Late_Spring_2024,1711758.538,1.089010989,0.4310586296970418,0.6844358943147891,FALSE
GT2023_N15.02,Cold-Dormancy,GT2023_N15,1,0.096,0.484210526,0.651648352,Winter_2023,-1558366.916,0.096,0.7728249719697599,0.7714305487738877,FALSE
