Well,,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
F03,,SYBR,,Unkn-06,5.3_D,,18.17784343,18.19409595,0.022984541,1.90E+11,11.27772484,1.88E+11,2825656922,60,
F04,,SYBR,,Unkn-06,5.3_D,,18.21034848,18.19409595,0.022984541,1.86E+11,11.2684712,1.88E+11,2825656922,60,
F05,,SYBR,,Unkn-14,6.4_C,,18.15577921,18.13937892,0.023193519,1.92E+11,11.28400615,1.94E+11,2955475784,60,
F06,,SYBR,,Unkn-14,6.4_C,,18.12297862,18.13937892,0.023193519,1.96E+11,11.29334392,1.94E+11,2955475784,60,
F09,,SYBR,,Unkn-30,17.5_B,,18.19499912,18.19018215,0.00681223,1.87E+11,11.2728409,1.88E+11,839613849.2,60,
F10,,SYBR,,Unkn-30,17.5_B,,18.18536517,18.19018215,0.00681223,1.89E+11,11.27558352,1.88E+11,839613849.2,60,
F11,,SYBR,,Unkn-38,5.4_B,,18.33279674,18.33763556,0.006843114,1.71E+11,11.23361225,1.71E+11,765713991.4,60,
F12,,SYBR,,Unkn-38,5.4_B,,18.34247437,18.33763556,0.006843114,1.70E+11,11.23085719,1.71E+11,765713991.4,60,
G03,,SYBR,,Unkn-07,9.6_D,,18.28415951,18.28131518,0.004022502,1.77E+11,11.24745844,1.77E+11,467027046.6,60,
G04,,SYBR,,Unkn-07,9.6_D,,18.27847084,18.28131518,0.004022502,1.77E+11,11.24907791,1.77E+11,467027046.6,60,
G05,,SYBR,,Unkn-15,9.4_C,,18.83902105,18.73792512,0.142971232,1.23E+11,11.08949875,1.32E+11,12314673416,60,
G06,,SYBR,,Unkn-15,9.4_C,,18.63682919,18.73792512,0.142971232,1.40E+11,11.14705935,1.32E+11,12314673416,60,
G07,,SYBR,,Unkn-23,5.5_B,,18.4659454,18.48789798,0.031045642,1.57E+11,11.19570708,1.55E+11,3148114734,60,
G08,,SYBR,,Unkn-23,5.5_B,,18.50985056,18.48789798,0.031045642,1.52E+11,11.18320802,1.55E+11,3148114734,60,
G09,,SYBR,,Unkn-31,6.4_A,,18.58767416,18.69485181,0.15157209,1.45E+11,11.16105296,1.35E+11,13430590397,60,
G10,,SYBR,,Unkn-31,6.4_A,,18.80202947,18.69485181,0.15157209,1.26E+11,11.10002962,1.35E+11,13430590397,60,
G11,,SYBR,,Unkn-39,2.2_B,,18.12407418,18.00594786,0.167055847,1.96E+11,11.29303203,2.13E+11,23255921286,60,
G12,,SYBR,,Unkn-39,2.2_B,,17.88782154,18.00594786,0.167055847,2.29E+11,11.36028917,2.13E+11,23255921286,60,
H01,,SYBR,,NTC-01,NEG,,28.68023632,28.60327085,0.108845616,NaN,NaN,NaN,NaN,60,
H02,,SYBR,,NTC-01,NEG,,28.52630538,28.60327085,0.108845616,NaN,NaN,NaN,NaN,60,
H03,,SYBR,,Unkn-08,2.2_D,,19.39224094,19.32774295,0.091213931,85507930940,10.9320064,89280357555,5335016883,60,
H04,,SYBR,,Unkn-08,2.2_D,,19.26324496,19.32774295,0.091213931,93052784171,10.96872937,89280357555,5335016883,60,
H05,,SYBR,,Unkn-16,12.5_B,,18.35308675,18.33894916,0.019993574,1.69E+11,11.22783603,1.71E+11,2235294578,60,
H06,,SYBR,,Unkn-16,12.5_B,,18.32481157,18.33894916,0.019993574,1.72E+11,11.23588549,1.71E+11,2235294578,60,
H07,,SYBR,,Unkn-24,9.5_A,,18.59261324,18.80531054,0.300799414,1.44E+11,11.15964688,1.27E+11,24851697258,60,
H08,,SYBR,,Unkn-24,9.5_A,,19.01800785,18.80531054,0.300799414,1.09E+11,11.03854423,1.27E+11,24851697258,60,
H09,,SYBR,,Unkn-32,17.2_A,,18.96046465,18.70529723,0.360861217,1.13E+11,11.05492581,1.36E+11,31879272772,60,
H10,,SYBR,,Unkn-32,17.2_A,,18.45012982,18.70529723,0.360861217,1.59E+11,11.2002095,1.36E+11,31879272772,60,
H11,,SYBR,,Unkn-40,17.2_C,,18.34568,18.27367089,0.10183625,1.70E+11,11.2299446,1.78E+11,11887359652,60,
H12,,SYBR,,Unkn-40,17.2_C,,18.20166179,18.27367089,0.10183625,1.87E+11,11.27094415,1.78E+11,11887359652,60,
